Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0064015,0.0001745,-0.0022995,0,0,0,0.27179,0.00013785,-5.3961E-10,6.5926E-07,0.00075341,-4.7116E-09,0.00085245,0,0,0,0,0,0,package://witdog_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://witdog_description/meshes/base_link.STL,,顶板-new1-1;底板-new-2;IMU（虚拟）-1;屏幕固定板-1;屏幕架-1;前板-1;电池横板-1;电池立架-1;立板3-1;后立板-1;立板2-1;屏幕-1;摄像头（虚拟）-1;M2x4内嵌螺母-5;M2x4内嵌螺母-3;M2x4内嵌螺母-8;M2x4内嵌螺母-7;M2x4内嵌螺母-17;M2x4内嵌螺母-16;M2x4内嵌螺母-12;M2x4内嵌螺母-18;M2x4内嵌螺母-10;M2x4内嵌螺母-6;M2x4内嵌螺母-4;M2x4内嵌螺母-9;M2x4内嵌螺母-13;M2x4内嵌螺母-15;M2x4内嵌螺母-11;M2x4内嵌螺母-14;腿部装配_new-1/舵机-3/中壳^舵机-1;腿部装配_new-1/舵机-3/后壳^舵机-1;腿部装配_new-1/舵机-3/长螺钉4^舵机-1;腿部装配_new-1/舵机-3/长螺钉3^舵机-1;腿部装配_new-1/舵机-3/长螺钉2^舵机-1;腿部装配_new-1/舵机-3/长螺钉1^舵机-1;腿部装配_new-1/舵机-3/前壳^舵机-1;腿部装配_new-1/舵机-3/齿轮轴^舵机-1;腿部装配_new-2/舵机-3/后壳^舵机-1;腿部装配_new-2/舵机-3/中壳^舵机-1;腿部装配_new-2/舵机-3/前壳^舵机-1;腿部装配_new-2/舵机-3/长螺钉4^舵机-1;腿部装配_new-2/舵机-3/长螺钉3^舵机-1;腿部装配_new-2/舵机-3/长螺钉2^舵机-1;腿部装配_new-2/舵机-3/长螺钉1^舵机-1;腿部装配_new-2/舵机-3/齿轮轴^舵机-1;腿部装配_new-mirror-2/舵机-11/后壳^舵机-1;腿部装配_new-mirror-2/舵机-11/长螺钉4^舵机-1;腿部装配_new-mirror-2/舵机-11/长螺钉3^舵机-1;腿部装配_new-mirror-2/舵机-11/长螺钉2^舵机-1;腿部装配_new-mirror-2/舵机-11/长螺钉1^舵机-1;腿部装配_new-mirror-2/舵机-11/中壳^舵机-1;腿部装配_new-mirror-2/舵机-11/齿轮轴^舵机-1;腿部装配_new-mirror-2/舵机-11/前壳^舵机-1;腿部装配_new-mirror-3/舵机-11/中壳^舵机-1;腿部装配_new-mirror-3/舵机-11/后壳^舵机-1;腿部装配_new-mirror-3/舵机-11/长螺钉3^舵机-1;腿部装配_new-mirror-3/舵机-11/长螺钉4^舵机-1;腿部装配_new-mirror-3/舵机-11/长螺钉2^舵机-1;腿部装配_new-mirror-3/舵机-11/长螺钉1^舵机-1;腿部装配_new-mirror-3/舵机-11/前壳^舵机-1;腿部装配_new-mirror-3/舵机-11/齿轮轴^舵机-1,axes_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_1,2.62515944628658E-05,0.0150369804172996,9.51730990358252E-06,0,0,0,0.0168753571518718,5.86772270337693E-07,-1.1478585904503E-08,3.60262610589587E-13,1.49114161014324E-06,5.10343058591125E-12,1.37161984297242E-06,0,0,0,0,0,0,package://witdog_description/meshes/lf_1.STL,1,1,1,1,0,0,0,0,0,0,package://witdog_description/meshes/lf_1.STL,,腿部装配_new-1/舵机-1/后壳^舵机-1;腿部装配_new-1/舵机-1/中壳^舵机-1;腿部装配_new-1/舵机-1/长螺钉3^舵机-1;腿部装配_new-1/舵机-1/长螺钉4^舵机-1;腿部装配_new-1/舵机-1/长螺钉2^舵机-1;腿部装配_new-1/舵机-1/长螺钉1^舵机-1;腿部装配_new-1/舵机-1/齿轮轴^舵机-1;腿部装配_new-1/舵机-1/前壳^舵机-1;腿部装配_new-1/舵机连接螺钉-3;腿部装配_new-1/舵机连接螺钉-4;腿部装配_new-1/舵机连接螺钉-1;腿部装配_new-1/舵机连接螺钉-2;腿部装配_new-1/舵机座1_new-1;腿部装配_new-1/螺纹连接轴-1;腿部装配_new-1/螺纹连接轴-4;腿部装配_new-1/螺纹连接轴-3;腿部装配_new-1/螺纹连接轴-2;腿部装配_new-1/舵机座2_new-1;腿部装配_new-1/M1.2长-3;腿部装配_new-1/舵机连接螺钉-8;腿部装配_new-1/舵机连接螺钉-7;腿部装配_new-1/M1.2长-2;腿部装配_new-1/M1.2长-5;腿部装配_new-1/舵机-2/中壳^舵机-1;腿部装配_new-1/舵机-2/后壳^舵机-1;腿部装配_new-1/舵机座2附件-1;腿部装配_new-1/舵盘1-改-1;腿部装配_new-1/舵机-2/长螺钉3^舵机-1;腿部装配_new-1/舵机-2/长螺钉2^舵机-1;腿部装配_new-1/舵机-2/长螺钉1^舵机-1;腿部装配_new-1/舵机-2/长螺钉4^舵机-1;腿部装配_new-1/舵机连接螺钉-6;腿部装配_new-1/舵机-2/前壳^舵机-1;腿部装配_new-1/舵机连接螺钉-5,axes_lf1,axis_lf1,to_lf1,revolute,0.08652,0.028001,-0.005647,0,0,0,base_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
lf_2,-0.000216886891406632,0.00185556616401127,-0.0157060881233216,0,0,0,0.00376828555575914,4.57030129343999E-07,1.35287251536321E-10,-6.03661913719452E-09,4.69057578447029E-07,9.79755214137285E-09,1.99564242481259E-08,0,0,0,0,0,0,package://witdog_description/meshes/lf_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://witdog_description/meshes/lf_2.STL,,腿部装配_new-1/舵盘2-2;腿部装配_new-1/upper leg_new1-1;腿部装配_new-1/M1.2-1;腿部装配_new-1/M1.2-2;腿部装配_new-1/轴承连接螺母-1;腿部装配_new-1/推力球轴承-2;腿部装配_new-1/推力球轴承-1;腿部装配_new-1/轴承连接螺栓-1,axes_lf2,axis_lf2,to_lf2,revolute,-0.0057834,0.014959,0.00061935,0,0,0,lf_1,0,-1,0,0,0,-3.14,3.14,,,,,,,,
lf_3,-0.00207589878248646,-0.000650514564911272,-0.0275149145142826,0,0,0,0.00287540455443767,1.9335811295872E-06,2.14692946226457E-11,-1.18699568589964E-07,1.95107431883104E-06,2.84040611360831E-10,1.89776618357133E-08,0,0,0,0,0,0,package://witdog_description/meshes/lf_3.STL,1,1,1,1,0,0,0,0,0,0,package://witdog_description/meshes/lf_3.STL,,腿部装配_new-1/Lower leg -new1-1;腿部装配_new-1/Lower leg -new-1,axes_lf3,axis_lf3,to_lf3,revolute,-0.00091985,0.0079405,-0.066613,0,0,0,lf_2,0,-1,0,0,0,-3.14,3.14,,,,,,,,
lf_foot,0.000733010852343454,-0.00200000000000003,0.000667379574654542,0,0,0,0.00184082876311052,9.6355662245681E-08,-9.37574254460232E-23,-1.49911815454567E-08,1.84243192364973E-07,-6.25861926332428E-23,9.362840682092E-08,0,0,0,0,0,0,package://witdog_description/meshes/lf_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://witdog_description/meshes/lf_foot.STL,,足端-new-1,axes_lf_foot,Axis_to_lffoot,to_lffoot,fixed,-0.0098189,0.0015,-0.059121,0,0,0,lf_3,0,0,0,,,,,,,,,,,,
rf_1,-2.3349E-05,-0.014987,5.2286E-06,0,0,0,0.016886,5.867E-07,1.1479E-08,-8.3009E-14,1.4912E-06,5.3728E-12,1.3716E-06,0,0,0,0,0,0,package://witdog_description/meshes/rf_1.STL,1,1,1,1,0,0,0,0,0,0,package://witdog_description/meshes/rf_1.STL,,腿部装配_new-mirror-3/舵机-10/后壳^舵机-1;腿部装配_new-mirror-3/舵机-10/中壳^舵机-1;腿部装配_new-mirror-3/舵机-10/长螺钉4^舵机-1;腿部装配_new-mirror-3/舵机-10/长螺钉3^舵机-1;腿部装配_new-mirror-3/舵机-10/长螺钉1^舵机-1;腿部装配_new-mirror-3/舵机-10/长螺钉2^舵机-1;腿部装配_new-mirror-3/舵机-10/齿轮轴^舵机-1;腿部装配_new-mirror-3/舵机连接螺钉-26;腿部装配_new-mirror-3/舵机连接螺钉-30;腿部装配_new-mirror-3/舵机-10/前壳^舵机-1;腿部装配_new-mirror-3/舵机连接螺钉-27;腿部装配_new-mirror-3/舵机连接螺钉-28;腿部装配_new-mirror-3/M1.2长-17;腿部装配_new-mirror-3/舵机座1_new-4;腿部装配_new-mirror-3/螺纹连接轴-16;腿部装配_new-mirror-3/螺纹连接轴-13;腿部装配_new-mirror-3/螺纹连接轴-14;腿部装配_new-mirror-3/螺纹连接轴-15;腿部装配_new-mirror-3/舵机连接螺钉-25;腿部装配_new-mirror-3/舵机连接螺钉-32;腿部装配_new-mirror-3/舵机座2_new-4;腿部装配_new-mirror-3/舵盘1-改-4;腿部装配_new-mirror-3/舵机座2附件-2;腿部装配_new-mirror-3/舵机-12/后壳^舵机-1;腿部装配_new-mirror-3/舵机-12/长螺钉3^舵机-1;腿部装配_new-mirror-3/舵机-12/长螺钉2^舵机-1;腿部装配_new-mirror-3/舵机-12/长螺钉1^舵机-1;腿部装配_new-mirror-3/舵机-12/长螺钉4^舵机-1;腿部装配_new-mirror-3/舵机-12/中壳^舵机-1;腿部装配_new-mirror-3/舵机-12/前壳^舵机-1;腿部装配_new-mirror-3/舵机连接螺钉-31;腿部装配_new-mirror-3/M1.2长-15;腿部装配_new-mirror-3/舵盘连接螺钉-1-31;腿部装配_new-mirror-3/舵盘连接螺钉-1-27;腿部装配_new-mirror-3/舵盘连接螺钉-1-26;腿部装配_new-mirror-3/舵盘连接螺钉-1-28;腿部装配_new-mirror-3/舵盘连接螺钉-1-25;腿部装配_new-mirror-3/舵盘连接螺钉-1-32;腿部装配_new-mirror-3/舵盘连接螺钉-1-29;腿部装配_new-mirror-3/舵盘连接螺钉-1-30;腿部装配_new-mirror-3/M1.2长-14,axes_rf1,axis_rf1,to_rf1,revolute,0.08652,-0.028,-0.005647,0,0,0,base_link,-1,0,0,0,0,-3.14,3.14,,,,,,,,
rf_2,-0.000216884414840048,-0.0018570506821472,-0.0157060845364545,0,0,0,0.00376828555575914,4.57030137864287E-07,-1.35296428717452E-10,-6.0366169993765E-09,4.69057578447029E-07,-9.79755052881623E-09,1.99564157278384E-08,0,0,0,0,0,0,package://witdog_description/meshes/rf_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://witdog_description/meshes/rf_2.STL,,腿部装配_new-mirror-3/舵盘2-8;腿部装配_new-mirror-3/upper leg_new1-4;腿部装配_new-mirror-3/M1.2-8;腿部装配_new-mirror-3/M1.2-7;腿部装配_new-mirror-3/推力球轴承-7;腿部装配_new-mirror-3/轴承连接螺母-4;腿部装配_new-mirror-3/推力球轴承-8;腿部装配_new-mirror-3/轴承连接螺栓-4,axes_rf2,axis_rf2,to_rf2,revolute,-0.0057834,-0.014959,0.00061935,0,0,0,rf_1,0,1,0,0,0,-3.14,3.14,,,,,,,,
rf_3,-0.00216416743732465,0.000904314415320434,-0.0285792043747879,0,0,0,0.00196785726106261,1.42269543853101E-06,1.83743282998077E-11,-8.70066094481725E-08,1.43524693168462E-06,2.42640446305924E-10,1.38633327625019E-08,0,0,0,0,0,0,package://witdog_description/meshes/rf_3.STL,1,1,1,1,0,0,0,0,0,0,package://witdog_description/meshes/rf_3.STL,,腿部装配_new-mirror-3/Lower leg -new1-2,axes_rf3,axis_rf3,to_rf3,revolute,-0.000919872443398681,-0.00834054054053998,-0.0666128977412097,0,0,0,rf_2,0,1,0,0,0,-3.14,3.14,,,,,,,,
rf_foot,0.000733010852419357,0.002,0.000667379574624372,0,0,0,0.00184082876311052,9.6355662245681E-08,6.61616672491364E-23,-1.49911815454568E-08,1.84243192364973E-07,1.65831138249206E-22,9.36284068209202E-08,0,0,0,0,0,0,package://witdog_description/meshes/rf_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://witdog_description/meshes/rf_foot.STL,,足端-new-2,axes_rf_foot,Axis_to_rffoot,to_rffoot,fixed,-0.0091444,-0.0010914,-0.05939,0,0,0,rf_3,0,0,0,,,,,,,,,,,,
lh_1,-6.03000272297871E-06,0.015008835867718,9.49343399942945E-06,0,0,0,0.016907001768691,5.86782918184644E-07,-1.1478497599886E-08,3.43437736980025E-13,1.49117811880208E-06,5.08627362657907E-12,1.37165635303005E-06,0,0,0,0,0,0,package://witdog_description/meshes/lh_1.STL,1,1,1,1,0,0,0,0,0,0,package://witdog_description/meshes/lh_1.STL,,腿部装配_new-2/舵机-1/后壳^舵机-1;腿部装配_new-2/舵机-1/中壳^舵机-1;腿部装配_new-2/舵机-1/长螺钉2^舵机-1;腿部装配_new-2/舵机-1/长螺钉1^舵机-1;腿部装配_new-2/舵机-1/长螺钉3^舵机-1;腿部装配_new-2/舵机-1/长螺钉4^舵机-1;腿部装配_new-2/舵机-1/齿轮轴^舵机-1;腿部装配_new-2/舵机-1/前壳^舵机-1;腿部装配_new-2/舵机连接螺钉-3;腿部装配_new-2/舵机连接螺钉-4;腿部装配_new-2/舵机连接螺钉-1;腿部装配_new-2/舵机连接螺钉-2;腿部装配_new-2/舵机座1_new-1;腿部装配_new-2/M1.2长-2;腿部装配_new-2/M1.2长-5;腿部装配_new-2/螺纹连接轴-3;腿部装配_new-2/M1.2长-3;腿部装配_new-2/螺纹连接轴-4;腿部装配_new-2/螺纹连接轴-2;腿部装配_new-2/螺纹连接轴-1;腿部装配_new-2/舵机座2_new-1;腿部装配_new-2/舵机连接螺钉-7;腿部装配_new-2/舵机连接螺钉-8;腿部装配_new-2/舵机-2/中壳^舵机-1;腿部装配_new-2/舵机-2/后壳^舵机-1;腿部装配_new-2/舵机-2/长螺钉4^舵机-1;腿部装配_new-2/舵机-2/长螺钉1^舵机-1;腿部装配_new-2/舵机-2/前壳^舵机-1;腿部装配_new-2/舵机-2/长螺钉2^舵机-1;腿部装配_new-2/舵机-2/长螺钉3^舵机-1;腿部装配_new-2/舵机连接螺钉-5;腿部装配_new-2/舵机连接螺钉-6;腿部装配_new-2/舵盘连接螺钉-1-1;腿部装配_new-2/舵盘连接螺钉-1-6;腿部装配_new-2/舵盘连接螺钉-1-2;腿部装配_new-2/舵盘连接螺钉-1-3;腿部装配_new-2/舵盘连接螺钉-1-4;腿部装配_new-2/舵盘连接螺钉-1-7;腿部装配_new-2/舵盘连接螺钉-1-5;腿部装配_new-2/舵盘连接螺钉-1-8;腿部装配_new-2/舵盘1-改-1;腿部装配_new-2/舵机座2附件-1,axes_lh1,axis_lh1,to_lh1,revolute,-0.08248,0.028001,-0.005937,0,0,0,base_link,-1,0,0,0,0,-3.14,3.14,,,,,,,,
